epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9028,1.02252,3.99926,0.00763,0.01865,0.89243,0.298,0.22454,0.7062,3.96647,0.00698,0.00026664,0.00026664,0.00026664
2,78.9888,0.97465,3.15234,0.00719,0.01591,1,0.55009,0.42757,0.78634,3.21421,0.00802,0.000535408,0.000535408,0.000535408
3,102.345,1.04666,2.37889,0.0077,0.6956,0.5001,0.70989,0.549,0.89322,2.34598,0.00916,0.000795009,0.000795009,0.000795009
4,126.227,1.03957,2.01174,0.00754,0.7111,0.63936,0.7691,0.57715,0.88699,1.98162,0.00918,0.00104545,0.00104545,0.00104545
5,150.479,1.05736,1.84045,0.00749,0.6782,0.77552,0.84192,0.62975,0.92418,1.57537,0.01006,0.00103767,0.00103767,0.00103767
6,175.314,1.02721,1.67272,0.00752,0.81062,0.79915,0.89676,0.68805,0.87331,1.28372,0.00883,0.00101934,0.00101934,0.00101934
7,199.836,1.06168,1.54723,0.0078,0.79714,0.85335,0.91686,0.7029,0.90484,1.13673,0.00941,0.00100101,0.00100101,0.00100101
8,224.042,1.02475,1.4038,0.00735,0.84057,0.81409,0.90696,0.6982,0.90599,1.03225,0.00898,0.000982679,0.000982679,0.000982679
9,247.362,1.00677,1.32577,0.00758,0.83841,0.86458,0.92434,0.72056,0.84517,0.84793,0.00865,0.000964348,0.000964348,0.000964348
10,270.743,0.98468,1.24005,0.00729,0.9028,0.81766,0.93799,0.73873,0.82866,0.71749,0.00835,0.000946016,0.000946016,0.000946016
11,295.021,0.98868,1.14672,0.00728,0.86723,0.91181,0.94189,0.73168,0.87808,0.60983,0.00903,0.000927685,0.000927685,0.000927685
12,318.649,0.95629,1.09504,0.00705,0.88368,0.91958,0.94497,0.73577,0.85569,0.55317,0.00869,0.000909353,0.000909353,0.000909353
13,342.537,0.95437,1.01837,0.00699,0.93877,0.88687,0.95215,0.74704,0.82086,0.54764,0.00827,0.000891022,0.000891022,0.000891022
14,364.718,0.97506,0.94952,0.00694,0.86174,0.93108,0.95122,0.73076,0.89307,0.52986,0.00938,0.000872691,0.000872691,0.000872691
15,388.373,0.97774,0.95075,0.00709,0.8878,0.91272,0.95936,0.75175,0.83558,0.50717,0.00842,0.000854359,0.000854359,0.000854359
